Unique ID,Title,Category,Source,Owner,Status,ULR
1,Origin of Sumo,About Sumo,http://www.cibersumo.com/index.php/en/history-of-sumo,Grace,Needs to be written,www.sumo.com/about-sumo/orign-of-sumo
2,History and Traditions,About Sumo,http://www.sumotalk.com/history.htm,Grace,Needs to be written,www.sumo.com/about-sumo/history-and-traditions
3,Shinto,About Sumo,http://www.japan-guide.com/e/e2056.html,Grace,Needs to be written,www.sumo.com/about-sumo/shinto
4,Rules,Sport of Sumo,http://www.sumotalk.com/rules.htm,Grace,Needs to be written,www.sumo.com/sport-of-sumo/rules
5,Structure,Sport of Sumo,http://www.sumotalk.com/structure.htm,Grace,Needs to be written,www.sumo.com/sport-of-sumo/structure
6,Kimarite & Techniques,Sport of Sumo,http://www.sumo.or.jp/en/index,Grace,Needs to be written,www.sumo.com/sport-of-sumo/kimarite
7,History of the Rikishi,About Sumo,http://en.wikipedia.org/wiki/Rikishi,Grace,Needs to be written,www.sumo.com/about-sumo/history-of-rikishi
8,Yokozuna,Sport of Sumo,http://en.wikipedia.org/wiki/Yokozuna_(sumo)#Yokozuna,Grace,Needs to be written,www.sumo.com/sport-of-sumo/yokozuna
9,Stables,About Sumo,http://www.insightguides.com/inspire-me/blog/rikishi-training-and-sumo-in-japan,Grace,Needs to be written,www.sumo.com/about-sumo/stables
10,Fashion,About Sumo,http://thejapans.wordpress.com/2013/06/12/sumo-fashion/,Grace,Needs to be written,www.sumo.com/about-sumo/fashion
11,Famous Sumo Wrestlers,About Sumo,http://factsanddetails.com/japan.php?itemid=753,Grace,Needs to be written,www.sumo.com/about-sumo/famous-sumo-wrestlers
12,2013 Rikishi Stats,Sumo 2013,http://www.sumo.or.jp/en/index,Grace,Needs to be written,www.sumo.com/sumo2013/2013-rikishi-stats
13,2013 Tournament Schedule,Sumo 2013,http://www.sumo.or.jp/en/index,Grace,Needs to be written,www.sumo.com/sumo2013/2013tournamentschedule
14,Divisons,Sport of Sumo,http://www.sumotalk.com/structure.htm,Grace,Needs to be written,www.sumo.com/sport-of-sumo/divisons
15,Shisho,About Sumo,http://www.insightguides.com/inspire-me/blog/rikishi-training-and-sumo-in-japan,Grace,Needs to be written,www.sumo.com/about-sumo/shisho
