Unique ID,Title,Category,Source,Owner,Status
1,Origin of Sumo,About Sumo,http://www.cibersumo.com/index.php/en/history-of-sumo,Grace,Needs to be written
2,History and Traditions,About Sumo,http://www.sumotalk.com/history.htm,Grace,Needs to be written
3,Shinto,About Sumo,http://www.japan-guide.com/e/e2056.html,Grace,Needs to be written
4,Rules,Sport of Sumo,http://www.sumotalk.com/rules.htm,Grace,Needs to be written
5,Structure,Sport of Sumo,http://www.sumotalk.com/structure.htm,Grace,Needs to be written
6,Kimarite & Techniques,Sport of Sumo,http://www.sumo.or.jp/en/index,Grace,Needs to be written
7,History of the Rikishi,About Sumo,http://en.wikipedia.org/wiki/Rikishi,Grace,Needs to be written
8,Yokozuna,Sport of Sumo,http://en.wikipedia.org/wiki/Yokozuna_(sumo)#Yokozuna,Grace,Needs to be written
9,Stables,About Sumo,http://www.insightguides.com/inspire-me/blog/rikishi-training-and-sumo-in-japan,Grace,Needs to be written
10,Fashion,About Sumo,http://thejapans.wordpress.com/2013/06/12/sumo-fashion/,Grace,Needs to be written
11,Famous Sumo Wrestlers,About Sumo,http://factsanddetails.com/japan.php?itemid=753,Grace,Needs to be written
12,2013 Rikishi Stats,Sumo 2013,http://www.sumo.or.jp/en/index,Grace,Needs to be written
13,2013 Tournament Schedule,Sumo 2013,http://www.sumo.or.jp/en/index,Grace,Needs to be written
14,Divisons,Sport of Sumo,http://www.sumotalk.com/structure.htm,Grace,Needs to be written
15,Shisho,About Sumo,http://www.insightguides.com/inspire-me/blog/rikishi-training-and-sumo-in-japan,Grace,Needs to be written
